" questions_groups"," standard_questions","intent","question_variants","answers"
"Условия в хосписе","Что запрещено в стационаре","facility_prohibitions","Что в вашем учреждении считается недопустимым для пациентов хосписа?","Что в хосписе нельзя? Болеть инфекционными заболеваниями. Просим вас не выходить из палаты и позвать врача, если у ребенка или сопровождающего появились первые признаки инфекции (температура, насморк, кашель, тошнота, понос и тп). В случае инфекции у ребенка мы будем вынуждены просить родителей забрать ребенка домой или будем организовывать перевод в больницу. Если инфекция у сопровождающего – можно оставить ребенка в стационаре с няней от хосписа или уехать домой вместе с ребенком. Если вы заметили в общих помещениях человека с признаками инфекции – попросите его выйти из помещения и сообщите дежурному врачу. Пить алкогольные напитки или находиться в состоянии алкогольного опьянения. Оставлять детей без присмотра. Обижать других людей, невежливо общаться.  Оставлять гостей ночевать, если это не было согласовано с руководителем стационара."
"Условия в хосписе","Режим дня","daily_schedule","Каков режим дня в вашем хосписе?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Расскажите, пожалуйста, о расписании на день для пациентов стационара","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Во сколько происходят основные события (подъем, прием пищи, процедуры) в хосписе?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Как строится обычный день пациента в условиях стационара?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Какое расписание приема пищи, процедур и отдыха?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","В какое время что происходит в течение дня в хосписе?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Есть ли строгий график дня в стационаре? Как он выглядит?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Что и когда делают пациенты в течение суток в хосписе?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Можно ли узнать примерное расписание дня в вашем стационаре?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Режим дня","daily_schedule","Как организован временной режим для пациентов в стационаре?","В стационаре мы придерживаемся следующего распорядка дня: 8.30-11.00 завтрак 11.00-11.30 - ""общий круг"" с воспитателем 11.30-13.00 - осмотр врача (1 раз в день обязательно для всех) 11.30-14.00 - прогулка / школа / консультации узких специалистов/ игровые терапевты  14.00-15.00 – обед 15.00-16.30 - сон / свободное время / прогулка 16.30-17.00 – полдник 17.00-19.00 - мастер-классы, музыкальные вечера... 19.00-20.00 – ужин 20.00-23.00 – волонтеры 23.00-8.30 - ""тихое время"" По желанию в любое время вы можете принять ванну с гидромассажем (2 этаж) или джакузи (1 этаж). Для этого предварительно запишитесь в лист бронирования, который висит на информационной доске."
"Условия в хосписе","Питание в стационаре","patient_nutrition","Как организовано питание пациентов в стационаре?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Что входит в меню для больных?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Какое меню предлагается пациентам?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Насколько разнообразно и полезно питание в хосписе?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Как кормят пациентов в вашем учреждении?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Есть ли специальное или диетическое питание в хосписе? Какое?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Расскажите, пожалуйста, про систему питания в стационаре/хосписе.","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Сколько раз в день кормят и что обычно дают в стационаре?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Качество и режим питания пациентов в стационаре?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Условия в хосписе","Питание в стационаре","patient_nutrition","Скажите, пожалуйста, про еду для пациентов в стационаре: что, когда, как?","Питание в стационаре У нас пятиразовое питание. Завтрак, обед и ужин вы можете заказать по меню у сестры-хозяйки. Второй завтрак (фрукты) и полдник – накрываются на всех на общем столе. Мы можем обеспечить питанием всех, кто живет в стационаре (ребенок (если ест не только медицинское питание), 1 или 2 сопровождающих, сиблинги). Кормить из средств хосписа гостей, приходящих нянь и других людей, которые не находятся на госпитализации, мы не сможем. Из меню можно выбрать: На завтрак: 2 блюда + соусы На обед: салат + суп + горячее (1 мясное или рыбное + гарнир)  На ужин - салат + горячее (1 мясное или рыбное + гарнир). Вы можете заменить салат / суп / гарнир на второй салат / второй суп / второй гарнир. При заказе можно питания можно оставить пожелания по ингредиентам (например, не добавлять специи) или по консистенции (например, пропустить через блендер). Мы специально заказываем бульон для тех детей, которые едят блендированное питание. Он стоит в холодильнике. Также в холодильнике есть молочные продукты. Если у вас есть пожелания или просьбы по питанию, обратитесь к сестре-хозяйке.  Мы будем благодарны за любые пожелания по улучшению работы стационара, включая мелкие замечания. Все идеи просим присылать на complain@mayak.help Ваши комментарии, направленные на этот адрес, могут помочь сделать работу хосписа лучше"
"Психиатрическая помощь","Оплата психиатра","psychiatrist_payment_info","Сколько консультаций психиатра может оплатить хоспис?","Хоспис оплачивает до 3 консультаций в год каждому члену семьи, который участвует в уходе за ребёнком и живёт с ним, а также самому ребёнку. Первая консультация — при начале терапии, ещё две — при необходимости, по решению руководителя психологического отдела."
"Психиатрическая помощь","Оплата психиатра","psychiatrist_payment_info","Хоспис оплачивает консультации психиатра для родителей?","Хоспис оплачивает до 3 консультаций в год каждому члену семьи, который участвует в уходе за ребёнком и живёт с ним, а также самому ребёнку. Первая консультация — при начале терапии, ещё две — при необходимости, по решению руководителя психологического отдела."
"Психиатрическая помощь","Оплата психиатра","psychiatrist_payment_info","Ребёнку можно бесплатно сходить к психиатру через хоспис?","Хоспис оплачивает до 3 консультаций в год каждому члену семьи, который участвует в уходе за ребёнком и живёт с ним, а также самому ребёнку. Первая консультация — при начале терапии, ещё две — при необходимости, по решению руководителя психологического отдела."
"Психиатрическая помощь","Оплата психиатра","psychiatrist_payment_info","Сколько раз в год можно бесплатно к психиатру?","Хоспис оплачивает до 3 консультаций в год каждому члену семьи, который участвует в уходе за ребёнком и живёт с ним, а также самому ребёнку. Первая консультация — при начале терапии, ещё две — при необходимости, по решению руководителя психологического отдела."
"Психиатрическая помощь","Оплата психиатра","psychiatrist_payment_info","Хоспис оплачивает только первую консультацию психиатра?","Хоспис оплачивает до 3 консультаций в год каждому члену семьи, который участвует в уходе за ребёнком и живёт с ним, а также самому ребёнку. Первая консультация — при начале терапии, ещё две — при необходимости, по решению руководителя психологического отдела."
"Психиатрическая помощь","Оплата психиатра","psychiatrist_payment_info","Можно ли получить несколько консультаций психиатра за счёт хосписа?","Хоспис оплачивает до 3 консультаций в год каждому члену семьи, который участвует в уходе за ребёнком и живёт с ним, а также самому ребёнку. Первая консультация — при начале терапии, ещё две — при необходимости, по решению руководителя психологического отдела."
"Психиатрическая помощь","Оплата психиатра","psychiatrist_payment_info","Для кого именно хоспис оплачивает психиатра?","Хоспис оплачивает до 3 консультаций в год каждому члену семьи, который участвует в уходе за ребёнком и живёт с ним, а также самому ребёнку. Первая консультация — при начале терапии, ещё две — при необходимости, по решению руководителя психологического отдела."
